Comments,PLU,SKU Item Nbr,SKU Item Name,Document SKU Name,Document Grp Name,,Core Range (Y/N),Pack Size,"Prep (Y/N)
Requires 24hr defrost",Prep / Defrost %,Defrost max cap,Scratch 1,Scratch 2,,Minimum Fill Qty,Update min,Production Multiple ,trigger for mix to be produced,Waste Banding  (USE CURRENT RUN RATE - RUSSELL & KATE GARROD),End of Day Carryover,Shelf Life,,8am - 10am,10am - 2pm,2pm - 6pm,Sunday England & Wales,Scottish Sunday
,,105630631,fresh strawberry flan,Large Chilled Cakes,Cakes,,Y,1,,100% TOMORROWS,,Y,N,,2,update productionpointitem set mincaseqty=2 where item_num=105630631,2,,#REF!,50%,D+2,,,Y,Y,2pm - 4pm,no change
delisted line 29.9,,111026457,Strawberry and cream crown,Pastries,Pastries,,Y,2,Y,,,Y,Y,,2,update productionpointitem set mincaseqty=2 where item_num=111026457,1,,#REF!,50%,D+2,,Y,,,2pm - 4pm,no change
,,105658239,apple and custart lattice,Pastries,Pastries,,Y,2,Y,,,Y,Y,,2,update productionpointitem set mincaseqty=2 where item_num=105658239,1,,#REF!,50%,D+2,,Y,,,2pm - 4pm,no change
,,111026473,Toffee pecan swirl,Pastries,Pastries,,Y,2,Y,,,Y,Y,,2,update productionpointitem set mincaseqty=2 where item_num=111026473,1,,#REF!,50%,D+2,,Y,,,2pm - 4pm,no change
,,105658255,eccles cakes,Pastries,Pastries,,Y,2,Y,,,Y,Y,,2,update productionpointitem set mincaseqty=2 where item_num=105658255,1,,#REF!,50%,D+2,,Y,,,2pm - 4pm,no change
,,105658095,cinnamon swirl,Pastries,Pastries,,Y,2,Y,,,Y,Y,,2,update productionpointitem set mincaseqty=2 where item_num=105658095,1,,#REF!,50%,D+2,,Y,,,2pm - 4pm,no change
,,107733028,portuguese tarts,Pastries,Pastries,,Y,2,Y,,,Y,Y,,2,update productionpointitem set mincaseqty=2 where item_num=107733028,2,,#REF!,50%,D+2,,Y,,,2pm - 4pm,no change
,,105713197,vinilla creme crowns,Pastries,Pastries,,Y,2,Y,,,Y,Y,,2,update productionpointitem set mincaseqty=2 where item_num=105713197,1,,#REF!,50%,D+2,,Y,,,2pm - 4pm,no change
,,106779251,mini danish pastries,Pastries,Pastries,,Y,5,Y,,,Y,Y,,2,update productionpointitem set mincaseqty=2 where item_num=106779251,1,,#REF!,50%,D+2,,Y,,,2pm - 4pm,no change
,,105658175,pecan plait,Pastries,Pastries,,Y,2,Y,,,Y,Y,,2,update productionpointitem set mincaseqty=2 where item_num=105658175,1,,#REF!,50%,D+2,,Y,,,2pm - 4pm,no change
,,111092403,Bakewell Tartlet,Small Chilled Cakes,Cakes,,Y,1,Y,,,Y,N,,1,update productionpointitem set mincaseqty=1 where item_num=111092403,1,N/A,#REF!,50%,d+2,,,Y,Y,2pm - 4pm,no change
,,109349388,Pear and almond tart,Small Chilled Cakes,Cakes,,Y,1,,,,Y,N,,1,update productionpointitem set mincaseqty=1 where item_num=109349388,1,N/A,#REF!,50%,d+2,,,Y,Y,2pm - 4pm,no change
,,109726201,f/c Strawberry Meringue,Small Chilled Cakes,Cakes,,Y,2,,,,Y,N,,4,update productionpointitem set mincaseqty=4 where item_num=109726201,5,N/A,#REF!,50%,d+2,,,Y,Y,2pm - 4pm,no change
,,105628718,f/c Fruited scone,Small Chilled Cakes,Cakes,,Y,2,,,,Y,N,,3,update productionpointitem set mincaseqty=3 where item_num=105628718,4,N/A,#REF!,50%,d+1,,,Y,Y,2pm - 4pm,no change
