Category,Recipe MIN Code,Description,PLU Code,Recipe State,Ingredient MIN Code,Ingredient Description,Quantity (g),Quantity (%),Quantity (UoM),Ingredient State,set
Cake Shop,111806251,MORRISONS LOADED BROWNIE DOUGHNUT,5989,Active,110105276,REDUCED SUGAR DOUGHNUT CONCENTRATE 8kg,11.8,10.89,,Active,n
Cake Shop,111806251,MORRISONS LOADED BROWNIE DOUGHNUT,5989,Active,102385247,Yeast,1.5,1.38,,Active,n
Cake Shop,111806251,MORRISONS LOADED BROWNIE DOUGHNUT,5989,Active,Water,Water,17.6,16.24,,Active,n
Cake Shop,111806251,MORRISONS LOADED BROWNIE DOUGHNUT,5989,Active,108171354,Oil,3,2.77,,Supplier Authorised,n
Cake Shop,111806251,MORRISONS LOADED BROWNIE DOUGHNUT,5989,Active,108415806,Chocolate Doughnut Glaze,15,13.84,,Active,n
Cake Shop,111806251,MORRISONS LOADED BROWNIE DOUGHNUT,5989,Active,110151096,Double Chocolate Brownie Bites,36,33.21,3 (Bite),Active,n
Cake Shop,111857496,MORRISONS SPRINKLY THE BEST DOUGHNUT,6185,Active,110396886,Morrisons ISB White Flour,23.5,28.52,,Active,n
Cake Shop,111857496,MORRISONS SPRINKLY THE BEST DOUGHNUT,6185,Active,110105276,REDUCED SUGAR DOUGHNUT CONCENTRATE 8kg,11.8,14.32,,Active,n
Cake Shop,111857496,MORRISONS SPRINKLY THE BEST DOUGHNUT,6185,Active,102385247,Yeast,1.5,1.82,,Active,n
Cake Shop,111857496,MORRISONS SPRINKLY THE BEST DOUGHNUT,6185,Active,Water,Water,17.6,21.36,,Active,n
Cake Shop,111857496,MORRISONS SPRINKLY THE BEST DOUGHNUT,6185,Active,108171354,Oil,3,3.64,,Supplier Authorised,n
Cake Shop,111857496,MORRISONS SPRINKLY THE BEST DOUGHNUT,6185,Active,111736820,(B) 5TH AVENUE CHOCOLATE ICING 12.5KG,15,18.2,,Active,n
Cake Shop,111857496,MORRISONS SPRINKLY THE BEST DOUGHNUT,6185,Active,109270291,Multi Coloured Strands,10,12.14,,Active,n
Cake Shop,111806331,MORRISONS SWEET AS CANDY DOUGHNUT,6001,Active,110396886,Morrisons ISB White Flour,23.5,23.02,,Active,n
Cake Shop,111806331,MORRISONS SWEET AS CANDY DOUGHNUT,6001,Active,110105276,REDUCED SUGAR DOUGHNUT CONCENTRATE 8kg,11.8,11.56,,Active,n
Cake Shop,111806331,MORRISONS SWEET AS CANDY DOUGHNUT,6001,Active,102385247,Yeast,1.5,1.47,,Active,n
Cake Shop,111806331,MORRISONS SWEET AS CANDY DOUGHNUT,6001,Active,Water,Water,17.6,17.24,,Active,n
Cake Shop,111806331,MORRISONS SWEET AS CANDY DOUGHNUT,6001,Active,108171354,Oil,3,2.94,,Supplier Authorised,n
Cake Shop,111806331,MORRISONS SWEET AS CANDY DOUGHNUT,6001,Active,108415865,White Doughnut Glaze,15,14.69,,Active,n
Cake Shop,111806331,MORRISONS SWEET AS CANDY DOUGHNUT,6001,Active,111931123,Jelly Beans 3kg (Cake Shop),29.7,29.09,11 (Jelly Bean),Active,n
Cake Shop,111806277,MORRISONS SIMPLY GLAZED DOUGHNUT,5994,Active,110396886,Morrisons ISB White Flour,23.5,34.87,,Active,n
Cake Shop,111806277,MORRISONS SIMPLY GLAZED DOUGHNUT,5994,Active,110105276,REDUCED SUGAR DOUGHNUT CONCENTRATE 8kg,11.8,17.51,,Active,n
Cake Shop,111806277,MORRISONS SIMPLY GLAZED DOUGHNUT,5994,Active,102385247,Yeast,1.5,2.23,,Active,n
Cake Shop,111806277,MORRISONS SIMPLY GLAZED DOUGHNUT,5994,Active,Water,Water,17.6,26.11,,Active,n
Cake Shop,111806277,MORRISONS SIMPLY GLAZED DOUGHNUT,5994,Active,108171354,Oil,3,4.45,,Supplier Authorised,n
Cake Shop,111806277,MORRISONS SIMPLY GLAZED DOUGHNUT,5994,Active,110788151,Doughnut Glaze,10,14.84,,Active,n
Cake Shop,111813670,MORRISONS ULTIMATE SUMMER BERRY CHEESECAKE,6176,Active,111776240,Vanilla Cheesecake 500g,500,70.42,1 (EACH),Active,
Cake Shop,111813670,MORRISONS ULTIMATE SUMMER BERRY CHEESECAKE,6176,Active,108475411,Strawberries,100,14.08,,Active,
Cake Shop,111813670,MORRISONS ULTIMATE SUMMER BERRY CHEESECAKE,6176,Active,108472798,Raspberries,45,6.34,,Active,
Cake Shop,111813670,MORRISONS ULTIMATE SUMMER BERRY CHEESECAKE,6176,Active,108472966,Blueberries,50,7.04,,Active,
Cake Shop,111813670,MORRISONS ULTIMATE SUMMER BERRY CHEESECAKE,6176,Active,107378986,Neutral Glaze,15,2.11,,Active,
Cake Shop,111813696,MORRISONS STRAWBERRIES & CREAM WAFFLE BOWL,6175,Active,108858228,Strawberry Compote,125,27.74,,Active,n
Cake Shop,111813696,MORRISONS STRAWBERRIES & CREAM WAFFLE BOWL,6175,Active,111717637,Whipped Cream,125,27.74,,Active,n
Cake Shop,111813696,MORRISONS STRAWBERRIES & CREAM WAFFLE BOWL,6175,Active,109100742,Waffle,60,13.32,1.5 (EACH),Active,n
Cake Shop,111813696,MORRISONS STRAWBERRIES & CREAM WAFFLE BOWL,6175,Active,108475411,Strawberries,75,16.64,3 (Each),Active,n
Cake Shop,111813696,MORRISONS STRAWBERRIES & CREAM WAFFLE BOWL,6175,Active,109707093,Pink Strawberry Meringue Shell,15.6,3.46,1 (Shell),Active,n
Cake Shop,111813696,MORRISONS STRAWBERRIES & CREAM WAFFLE BOWL,6175,Active,107379006,Strawberry Glaze,50,11.1,,Active,n
Cake Shop,111207565,MORRISONS BAKEWELL TARTLET,773,Active,111092403,Bakewell Tart,90,100,1 (EACH),Ready For Authorisation,n
Cake Shop,111878086,MORRISONS VANILLA CHEESECAKE,6012,Active,111776240,Vanilla Cheesecake 500g,500,100,1 (EACH),Active,n
Cake Shop,111964902,MORRISONS MIX N MATCH DOUGHNUTS 12 PACK,6669,Active,107525270,Vanilla Doughnut Filling,15,2.27,,Active,n
Cake Shop,111964902,MORRISONS MIX N MATCH DOUGHNUTS 12 PACK,6669,Active,111736820,(B) 5TH AVENUE CHOCOLATE ICING 12.5KG,35,5.29,,Active,n
Cake Shop,111964902,MORRISONS MIX N MATCH DOUGHNUTS 12 PACK,6669,Active,108415865,White Doughnut Glaze,31,4.69,,Active,n
Cake Shop,111964902,MORRISONS MIX N MATCH DOUGHNUTS 12 PACK,6669,Active,110396886,Morrisons ISB White Flour,164.5,24.87,,Active,n
Cake Shop,111964902,MORRISONS MIX N MATCH DOUGHNUTS 12 PACK,6669,Active,110105276,REDUCED SUGAR DOUGHNUT CONCENTRATE 8kg,82.6,12.49,,Active,n
Cake Shop,111964902,MORRISONS MIX N MATCH DOUGHNUTS 12 PACK,6669,Active,102385247,Yeast,10.5,1.59,,Active,n
Cake Shop,111964902,MORRISONS MIX N MATCH DOUGHNUTS 12 PACK,6669,Active,Water,Water,123.2,18.62,,Active,n
Cake Shop,111964902,MORRISONS MIX N MATCH DOUGHNUTS 12 PACK,6669,Active,108171354,Oil,21,3.17,,Supplier Authorised,n
Cake Shop,111964902,MORRISONS MIX N MATCH DOUGHNUTS 12 PACK,6669,Active,111736791,Millionaires Doughnut Glaze 2.5kg,20,3.02,,Active,n
Cake Shop,111964902,MORRISONS MIX N MATCH DOUGHNUTS 12 PACK,6669,Active,108527621,Salted Caramel Sauce,15,2.27,,Active,n
Cake Shop,111964902,MORRISONS MIX N MATCH DOUGHNUTS 12 PACK,6669,Active,110949532,Toffee Flavour Popcorn 250g (Market Street),8,1.21,8 (Pieces),Active,n
Cake Shop,111964902,MORRISONS MIX N MATCH DOUGHNUTS 12 PACK,6669,Active,111845081,Lemon Doughnut Glaze 2.5kg,20,3.02,,Active,n
Cake Shop,111964902,MORRISONS MIX N MATCH DOUGHNUTS 12 PACK,6669,Active,110459461,Lemon Cream Filling,15,2.27,,Active,n
Cake Shop,111964902,MORRISONS MIX N MATCH DOUGHNUTS 12 PACK,6669,Active,108415806,Chocolate Doughnut Glaze,15,2.27,,Active,n
Cake Shop,111964902,MORRISONS MIX N MATCH DOUGHNUTS 12 PACK,6669,Active,110151096,Double Chocolate Brownie Bites,36,5.44,3 (Bite),Active,n
Cake Shop,111964902,MORRISONS MIX N MATCH DOUGHNUTS 12 PACK,6669,Active,109270291,Multi Coloured Strands,10,1.51,,Active,n
Cake Shop,111964902,MORRISONS MIX N MATCH DOUGHNUTS 12 PACK,6669,Active,111931123,Jelly Beans 3kg (Cake Shop),29.7,4.49,11 (Jelly Bean),Active,n
Cake Shop,111964902,MORRISONS MIX N MATCH DOUGHNUTS 12 PACK,6669,Active,110788151,Doughnut Glaze,10,1.51,,Active,n
Cake Shop,111967425,MORRISONS MIX N MATCH DOUGHNUTS 3 PACK,6671,Active,107525270,Vanilla Doughnut Filling,7.5,2.52,,Active,n
Cake Shop,111967425,MORRISONS MIX N MATCH DOUGHNUTS 3 PACK,6671,Active,111736820,(B) 5TH AVENUE CHOCOLATE ICING 12.5KG,17.5,5.89,,Active,n
Cake Shop,111967425,MORRISONS MIX N MATCH DOUGHNUTS 3 PACK,6671,Active,108415865,White Doughnut Glaze,15.5,5.22,,Active,n
Cake Shop,111967425,MORRISONS MIX N MATCH DOUGHNUTS 3 PACK,6671,Active,110396886,Morrisons ISB White Flour,70.5,23.73,,Active,n
Cake Shop,111967425,MORRISONS MIX N MATCH DOUGHNUTS 3 PACK,6671,Active,110105276,REDUCED SUGAR DOUGHNUT CONCENTRATE 8kg,35.4,11.92,,Active,n
Cake Shop,111967425,MORRISONS MIX N MATCH DOUGHNUTS 3 PACK,6671,Active,102385247,Yeast,4.5,1.51,,Active,n
Cake Shop,111967425,MORRISONS MIX N MATCH DOUGHNUTS 3 PACK,6671,Active,Water,Water,52.8,17.77,,Active,n
Cake Shop,111967425,MORRISONS MIX N MATCH DOUGHNUTS 3 PACK,6671,Active,108171354,Oil,9,3.03,,Supplier Authorised,n
Cake Shop,111967425,MORRISONS MIX N MATCH DOUGHNUTS 3 PACK,6671,Active,111736791,Millionaires Doughnut Glaze 2.5kg,10,3.37,,Active,n
Cake Shop,111967425,MORRISONS MIX N MATCH DOUGHNUTS 3 PACK,6671,Active,108527621,Salted Caramel Sauce,7.5,2.52,,Active,n
Cake Shop,111967425,MORRISONS MIX N MATCH DOUGHNUTS 3 PACK,6671,Active,110949532,Toffee Flavour Popcorn 250g (Market Street),4,1.35,4 (Pieces),Active,n
Cake Shop,111967425,MORRISONS MIX N MATCH DOUGHNUTS 3 PACK,6671,Active,111845081,Lemon Doughnut Glaze 2.5kg,10,3.37,,Active,n
Cake Shop,111967425,MORRISONS MIX N MATCH DOUGHNUTS 3 PACK,6671,Active,110459461,Lemon Cream Filling,7.5,2.52,,Active,n
Cake Shop,111967425,MORRISONS MIX N MATCH DOUGHNUTS 3 PACK,6671,Active,108415806,Chocolate Doughnut Glaze,7.5,2.52,,Active,n
Cake Shop,111967425,MORRISONS MIX N MATCH DOUGHNUTS 3 PACK,6671,Active,110151096,Double Chocolate Brownie Bites,18,6.06,1.5 (Bite),Active,n
Cake Shop,111967425,MORRISONS MIX N MATCH DOUGHNUTS 3 PACK,6671,Active,109270291,Multi Coloured Strands,5,1.68,,Active,n
Cake Shop,111967425,MORRISONS MIX N MATCH DOUGHNUTS 3 PACK,6671,Active,111931123,Jelly Beans 3kg (Cake Shop),14.85,5,5.5 (Jelly Bean),Active,n
Cake Shop,112084333,MORRISONS 12 ICED DOUGHNUT SELECTION,6679,Active,111845081,Lemon Doughnut Glaze 2.5kg,60,5.29,,Active,n
Cake Shop,112084333,MORRISONS 12 ICED DOUGHNUT SELECTION,6679,Active,108415865,White Doughnut Glaze,69,6.08,,Active,n
Cake Shop,112084333,MORRISONS 12 ICED DOUGHNUT SELECTION,6679,Active,110459461,Lemon Cream Filling,45,3.97,,Active,n
Cake Shop,112084333,MORRISONS 12 ICED DOUGHNUT SELECTION,6679,Active,110396886,Morrisons ISB White Flour,282,24.85,,Active,n
Cake Shop,112084333,MORRISONS 12 ICED DOUGHNUT SELECTION,6679,Active,110105276,REDUCED SUGAR DOUGHNUT CONCENTRATE 8kg,141.6,12.48,,Active,n
Cake Shop,112084333,MORRISONS 12 ICED DOUGHNUT SELECTION,6679,Active,102385247,Yeast,18,1.59,,Active,n
Cake Shop,112084333,MORRISONS 12 ICED DOUGHNUT SELECTION,6679,Active,Water,Water,211.2,18.61,,Active,n
Cake Shop,112084333,MORRISONS 12 ICED DOUGHNUT SELECTION,6679,Active,108171354,Oil,36,3.17,,Supplier Authorised,n
Cake Shop,112084333,MORRISONS 12 ICED DOUGHNUT SELECTION,6679,Active,108415806,Chocolate Doughnut Glaze,45,3.97,,Active,n
Cake Shop,112084333,MORRISONS 12 ICED DOUGHNUT SELECTION,6679,Active,110151096,Double Chocolate Brownie Bites,108,9.52,9 (Bite),Active,n
Cake Shop,112084333,MORRISONS 12 ICED DOUGHNUT SELECTION,6679,Active,111931123,Jelly Beans 3kg (Cake Shop),89.1,7.85,33 (Jelly Bean),Active,n
Cake Shop,112084333,MORRISONS 12 ICED DOUGHNUT SELECTION,6679,Active,110788151,Doughnut Glaze,30,2.64,,Active,n
Cake Shop,106779278,MORRISONS TOFFEE & APPLE CROWN 2 PACK,2754,Approved,110949663,Toffee Apple Crown,186,100,2 (Pastry),Active,
Cake Shop,111040574,MORRISONS CHOCOLATE ORANGE CAKE,5750,Active,111026326,Jaffa Cake Dessert (Cake shop Trial),135,100,1 (Slice),Active,
Cake Shop,111040558,MORRISONS ANGEL SPARKLE CAKE,5756,Active,111026297,Angel Sparkle Cake (Cake Shop Trial),135,100,1 (Slice),Active,
Cake Shop,111040591,MORRISONS LEMON & POPPYSEED CAKE,5747,Active,111026351,Lemon & Poppyseed Cake (Cake shop trial),135,100,1 (SLICE),Active,
Cake Shop,111813725,MORRISONS LOADED CHOCOLATE TOFFEE POPCORN CUPCAKES 2 PACK,6173,Active,111993957,Frozen Counter Cupcakes,74,41.57,2 (Cupcake),Active,
Cake Shop,111813725,MORRISONS LOADED CHOCOLATE TOFFEE POPCORN CUPCAKES 2 PACK,6173,Active,111717637,Whipping Cream 2L,70,39.33,,Active,
Cake Shop,111813725,MORRISONS LOADED CHOCOLATE TOFFEE POPCORN CUPCAKES 2 PACK,6173,Active,111174628,Toffee Flavour Popcorn 250g (Market Street),24,13.48,24 (Pieces),Active,
Cake Shop,111813725,MORRISONS LOADED CHOCOLATE TOFFEE POPCORN CUPCAKES 2 PACK,6173,Active,102385175,Toffee Sauce,10,5.62,,Active,
Cake Shop,112121835,MORRISONS WINTERBERRY CHEESECAKE,7026,Active,111776240,MORRISONS VANILLA CHEESECAKE 500G,500,73.53,1 (EACH),Active,
Cake Shop,112121835,MORRISONS WINTERBERRY CHEESECAKE,7026,Active,108475411,Strawberries,80,11.76,,Active,
Cake Shop,112121835,MORRISONS WINTERBERRY CHEESECAKE,7026,Active,108473192,Blackberries,40,5.88,,Active,
Cake Shop,112121835,MORRISONS WINTERBERRY CHEESECAKE,7026,Active,103863790,Blueberries,45,6.62,,Active,
Cake Shop,112121835,MORRISONS WINTERBERRY CHEESECAKE,7026,Active,107378986,Neutral Glaze (cake shop),15,2.21,,Active,
Cake Shop,111813741,MORRISONS LOADED STRAWBERRY SHORTCAKE CUPCAKES 2 PACK,6174,Active,111993957,Frozen Counter Cupcakes,74,35.41,2 (Cupcake),Active,
Cake Shop,111813741,MORRISONS LOADED STRAWBERRY SHORTCAKE CUPCAKES 2 PACK,6174,Active,111717637,Whipping Cream 2L,70,33.49,,Active,
Cake Shop,111813741,MORRISONS LOADED STRAWBERRY SHORTCAKE CUPCAKES 2 PACK,6174,Active,108850171,Strawberries,25,11.96,1 (Each),Active,
Cake Shop,111813741,MORRISONS LOADED STRAWBERRY SHORTCAKE CUPCAKES 2 PACK,6174,Active,110151150,20 Shortbread bites,30,14.35,2 (Bite),Active,
Cake Shop,111813741,MORRISONS LOADED STRAWBERRY SHORTCAKE CUPCAKES 2 PACK,6174,Active,107379006,Strawberry Flavour Glaze,10,4.78,,Active,
